,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt,10.txt,11.txt,12.txt,13.txt,14.txt,15.txt,16.txt,17.txt,18.txt,19.txt,20.txt,21.txt,22.txt,23.txt,24.txt,25.txt,26.txt,27.txt,28.txt,29.txt,30.txt,31.txt,249.txt,250.txt,251.txt,252.txt,253.txt,254.txt,255.txt,256.txt,257.txt,258.txt,259.txt,260.txt,261.txt,262.txt,263.txt,264.txt,265.txt,266.txt,267.txt,268.txt,269.txt,270.txt,271.txt,272.txt,273.txt,274.txt,275.txt,276.txt,277.txt,278.txt,279.txt,559.txt,560.txt,561.txt,562.txt,563.txt,564.txt,565.txt,566.txt,567.txt,568.txt,569.txt,570.txt,571.txt,572.txt,573.txt,574.txt,575.txt,576.txt,577.txt,578.txt,579.txt,580.txt,581.txt,582.txt,583.txt,584.txt,585.txt,586.txt,587.txt,588.txt,589.txt
1.txt,1.0,0.6395391367959035,0.49122165325530354,0.6227139722019019,0.373811265544989,0.6417337234820775,0.28054133138258963,0.623811265544989,0.5118873445501098,0.45738844184345284,0.6528895391367959,0.6565471836137527,0.245427944403804,0.6437454279444038,0.6287490855888808,0.27029992684711046,0.6386247256766642,0.21909290416971472,0.6272860277980981,0.665508412582297,0.23354059985369424,0.6545354791514264,0.6419166057059253,0.6662399414776884,0.644659839063643,0.653986832479883,0.6549012435991222,0.6406364301389904,0.6534381858083395,0.650329188002926,0.6420994879297732,0.2446964155084126,0.46744696415508413,0.24323335771762988,0.4476956839795172,0.5321872713972202,0.557973664959766,0.45903438185808343,0.56949524506218,0.23555230431602048,0.5598024871982443,0.46269202633504025,0.4630577907827359,0.20482809070958308,0.628566203365033,0.4709217264081931,0.4407461594732992,0.62966349670812,0.5122531089978054,0.5018288222384784,0.6035113386978785,0.24268471104608635,0.5892465252377469,0.4998171177761521,0.6397220190197512,0.5585223116313094,0.6082662765179225,0.5526700804681786,0.49177029992684707,0.49871982443306506,0.5720555961960497,0.5541331382589612,0.6289319678127285,0.45263350402340896,0.23134601316752013,0.3813094367227505,0.45592538405267014,0.4575713240673006,0.380760790051207,0.5859546452084857,0.45117044623262614,0.46580102414045355,0.38643013899049017,0.6494147768836869,0.4584857351865399,0.5431602048280907,0.5484637893196782,0.513899049012436,0.5583394294074616,0.5499268471104608,0.6342355523043159,0.5148134601316752,0.0,0.5261521580102414,0.5744330651060716,0.5667520117044623,0.5583394294074616,0.5971104608632041,0.6340526700804682,0.5837600585223116,0.5526700804681786,0.5058522311631309,0.5171909290416972
2.txt,0.6469639978506179,1.0,0.4784166218878739,0.6426652337452983,0.3818735446892352,0.6802794196668458,0.2855095826616515,0.6355006269030987,0.5129858499014867,0.45405695862439543,0.6865484506537703,0.6852946444563854,0.2512985849901487,0.6657710908113917,0.630843632455669,0.25273150635858854,0.6519792226401576,0.24234282643739924,0.6206340677055346,0.6636217087587319,0.2351782195951997,0.6414114275479132,0.6548450653770375,0.6487551495611679,0.644456385455848,0.6541286046928174,0.6550241805480924,0.6525165681533226,0.6595020598244672,0.6435608096005732,0.676159770732581,0.2538061973849185,0.4805660039405337,0.26652337452982267,0.46193802615081503,0.5445101200071646,0.5617051764284435,0.4898799928353932,0.5626007522837184,0.22371484864768043,0.5685115529285331,0.461579795808705,0.4646247537166398,0.24628336020060904,0.6292315959161741,0.4737596274404442,0.4805660039405337,0.6247537166397994,0.5323302883754254,0.5244492208490059,0.583915457639262,0.2568511552928533,0.5826616514418772,0.523195414651621,0.6421278882321333,0.554003224073079,0.599677592692101,0.5326885187175354,0.491492029374888,0.5002686727565825,0.5710191653233029,0.554540569586244,0.6668457818377216,0.45441518896650546,0.2810317033852767,0.38939638187354464,0.46355006269030985,0.45799749238760523,0.3825900053734551,0.5873186458893068,0.45190757657173564,0.4637291778613648,0.41142754791330827,0.6414114275479132,0.4637291778613648,0.552928533046749,0.5772881963102274,0.5588393336915637,0.5722729715206878,0.5300017911517105,0.6505463012717176,0.5002686727565825,0.0,0.5042092065197923,0.5962744044420563,0.5575855274941788,0.5554361454415189,0.5914382948235716,0.6369335482715386,0.6089915815869604,0.5507791509940891,0.5144187712699266,0.5269568332437757
3.txt,0.4329392580513657,0.40644109253974725,1.0,0.4078679168365267,0.3526294333469221,0.4158173664900122,0.2531593966571545,0.4039951080309825,0.46860986547085204,0.38830004076640845,0.41989400733795357,0.4247859763554831,0.2117814920505503,0.3750509580105993,0.3249082755809213,0.2882185079494497,0.34936812066856915,0.17855686913982882,0.3846310640032613,0.3603750509580106,0.1844679983693437,0.3687321646962902,0.36017121891561354,0.3730126375866286,0.3591520587036282,0.35752140236445173,0.3507949449653486,0.3622095393395842,0.37362413371381986,0.3622095393395842,0.38055442315532007,0.23787199347737464,0.3915613534447615,0.2229922543823889,0.3544639217284957,0.4235629841011007,0.39298817774154093,0.3885038728088055,0.38748471259682027,0.21504280472890336,0.39298817774154093,0.3613942111699959,0.37056665307786385,0.1863024867509172,0.3984916428862617,0.37484712596820224,0.36628618018752546,0.36404402772115774,0.37749694251936405,0.3935996738687322,0.4074602527517326,0.20994700366897678,0.38259274357929063,0.3823889115368936,0.3656746840603343,0.38748471259682027,0.38218507949449654,0.38646555238483493,0.3846310640032613,0.3885038728088055,0.386669384427232,0.37443946188340804,0.40032613126783534,0.3699551569506726,0.20199755401549124,0.3357113738279658,0.4170403587443946,0.3893192009783938,0.355279249898084,0.4009376273950265,0.39951080309824705,0.3974724826742764,0.33774969425193635,0.3811659192825112,0.38442723196086426,0.39523033020790865,0.4317162657969833,0.38218507949449654,0.3915613534447615,0.4156135344476152,0.40379127598858544,0.4031797798613942,0.0,0.38300040766408483,0.396249490419894,0.3950264981655116,0.37138198124745214,0.39176518548715855,0.3650631879331431,0.3789237668161435,0.3907460252751732,0.3768854463921728,0.36750917244190784
4.txt,0.6153989560029829,0.628076062639821,0.4584265473527218,1.0,0.34321401938851603,0.6198732289336316,0.2350857568978374,0.5659955257270693,0.4714765100671141,0.442020879940343,0.6284489187173751,0.6124161073825503,0.24086502609992544,0.6066368381804623,0.5661819537658463,0.23844146159582402,0.5589112602535422,0.19780014914243105,0.5947054436987322,0.5775540641312453,0.2192393736017897,0.5501491424310216,0.5600298284862043,0.575689783743475,0.5643176733780761,0.5673005219985086,0.5561148396718867,0.5652498135719612,0.5831469052945564,0.5851976137211037,0.586875466070097,0.2662192393736018,0.4843400447427293,0.261372110365399,0.46047725577926923,0.540641312453393,0.5747576435495898,0.4718493661446681,0.5693512304250559,0.21495152870991796,0.5540641312453394,0.45246085011185677,0.4582401193139448,0.2199850857568978,0.5857568978374348,0.4712900820283371,0.4530201342281879,0.5975018642803878,0.5413870246085011,0.5275913497390008,0.5730797912005965,0.23322147651006708,0.5721476510067114,0.5188292319164802,0.5650633855331841,0.5439970171513795,0.5751304996271439,0.5193885160328113,0.4843400447427293,0.4850857568978374,0.5687919463087248,0.5348620432513049,0.6014168530947055,0.46346010439970176,0.2337807606263982,0.39093959731543626,0.44947800149142436,0.4731543624161074,0.3849739000745712,0.5827740492170022,0.4429530201342282,0.4561894108873975,0.3819910514541387,0.59862043251305,0.459731543624161,0.5370991797166293,0.54082774049217,0.4992542878448919,0.5415734526472782,0.534675615212528,0.5728933631618196,0.4955257270693513,0.0,0.5160328113348247,0.5764354958985831,0.5410141685309471,0.535421327367636,0.5661819537658463,0.5805369127516778,0.5788590604026846,0.5315063385533184,0.5121178225205071,0.5091349739000746
5.txt,0.2896265560165975,0.28402489626556016,0.34107883817427387,0.2690871369294606,1.0,0.2605809128630705,0.33547717842323654,0.3172199170124481,0.3070539419087137,0.32323651452282154,0.29377593360995846,0.29024896265560163,0.2676348547717843,0.29419087136929456,0.19439834024896263,0.2280082987551867,0.23443983402489632,0.24585062240663902,0.27759336099585064,0.25435684647302903,0.24232365145228218,0.2634854771784232,0.24253112033195023,0.26203319502074685,0.24149377593361,0.2651452282157676,0.2377593360995851,0.24522821576763487,0.27759336099585064,0.24771784232365146,0.2914937759336099,0.22365145228215766,0.2676348547717843,0.19502074688796678,0.2794605809128631,0.3348547717842324,0.2817427385892116,0.3157676348547718,0.2680497925311204,0.22136929460580912,0.296058091286307,0.2896265560165975,0.2900414937759336,0.19751037344398337,0.28070539419087137,0.2647302904564315,0.27344398340248965,0.23796680497925315,0.24730290456431536,0.2719917012448133,0.30290456431535273,0.21182572614107886,0.27842323651452283,0.28692946058091284,0.23049792531120328,0.2912863070539419,0.28568464730290455,0.3242738589211618,0.3294605809128631,0.3035269709543569,0.304149377593361,0.2854771784232365,0.2491701244813278,0.3230290456431535,0.2475103734439834,0.3014522821576764,0.337344398340249,0.30082987551867224,0.31307053941908713,0.3163900414937759,0.3377593360995851,0.287551867219917,0.30082987551867224,0.2647302904564315,0.2985477178423237,0.2659751037344399,0.31016597510373445,0.31307053941908713,0.291908713692946,0.3217842323651452,0.25788381742738586,0.279045643153527,0.0,0.2896265560165975,0.28609958506224065,0.2655601659751037,0.2686721991701245,0.2672199170124482,0.2483402489626556,0.27012448132780087,0.27053941908713697,0.28817427385892114,0.2686721991701245
6.txt,0.6419956140350878,0.6737938596491229,0.4762426900584795,0.6273757309941521,0.3486842105263158,1.0,0.23592836257309946,0.6091008771929824,0.4736842105263158,0.44919590643274854,0.664656432748538,0.6531432748538012,0.2182017543859649,0.633406432748538,0.6313961988304093,0.24488304093567248,0.633406432748538,0.20285087719298245,0.6065423976608186,0.64546783625731,0.23556286549707606,0.6350511695906433,0.6301169590643274,0.6345029239766082,0.643092105263158,0.6416301169590644,0.6398026315789473,0.6449195906432749,0.64546783625731,0.6502192982456141,0.6469298245614035,0.22953216374269003,0.47752192982456143,0.2467105263157895,0.45047514619883045,0.560672514619883,0.5730994152046784,0.45065789473684215,0.566703216374269,0.23081140350877194,0.581140350877193,0.45486111111111116,0.44809941520467833,0.24214181286549707,0.6323099415204678,0.4727704678362573,0.4656432748538012,0.6312134502923976,0.53125,0.5325292397660819,0.5807748538011697,0.23464912280701755,0.5720029239766082,0.5049342105263157,0.6505847953216375,0.5637792397660819,0.5846125730994152,0.539656432748538,0.4689327485380117,0.4718567251461988,0.5625,0.5343567251461988,0.6752558479532164,0.4442616959064327,0.23940058479532167,0.3848684210526315,0.45979532163742687,0.4623538011695907,0.36567982456140347,0.572733918128655,0.45157163742690054,0.470577485380117,0.4060672514619883,0.637609649122807,0.4395102339181286,0.5553728070175439,0.5455043859649122,0.518640350877193,0.5813230994152047,0.5224780701754386,0.6408991228070176,0.5148026315789473,0.0,0.5263157894736843,0.6014254385964912,0.5659722222222222,0.5628654970760234,0.5970394736842105,0.6366959064327485,0.6197002923976609,0.549890350877193,0.5211988304093567,0.5365497076023391
7.txt,0.17853414073919394,0.1670494884109417,0.2349133430778868,0.14324493631238255,0.33117561077469204,0.12695761119231574,1.0,0.16663186468991442,0.2493213614533305,0.22927542284401758,0.16725830027145538,0.15640008352474422,0.21799958237627892,0.12507830444769263,0.02213405721444983,0.2081854249321361,0.05867613280434325,0.18709542702025472,0.15347671747755276,0.08811860513677172,0.1689287951555648,0.08707454583420338,0.06368761745667151,0.09584464397577785,0.08310712048444346,0.11108790979327621,0.06974316141156822,0.06201712257256209,0.1154729588640635,0.0906243474629359,0.11985800793485069,0.2532887868030904,0.18271037794946754,0.20651493004802668,0.17853414073919394,0.197953643766966,0.14721236166214235,0.21194403842138232,0.1357277093338901,0.20526205888494464,0.17268740864481102,0.1956567133013155,0.18396324911254958,0.15932344957193567,0.1440801837544372,0.13155147212361662,0.1505533514303612,0.09876801002296931,0.13969513468365002,0.1465859260806014,0.14721236166214235,0.22321987888912087,0.15577364794320314,0.1691376070160785,0.07558989350595113,0.15201503445395703,0.16412612236375024,0.19335978283566502,0.17206097306326995,0.14721236166214235,0.1607851325955314,0.14533305491751936,0.12695761119231574,0.19670077260388386,0.20463562330340368,0.179160576320735,0.21925245353936107,0.17561077469200248,0.2083942367926498,0.17059929003967422,0.23888076842764672,0.1754019628314888,0.20296512841929426,0.11776988932971388,0.19878889120902066,0.13029860096053458,0.17769889329713928,0.18271037794946754,0.15598245980371683,0.18438087283357696,0.1403215702651911,0.15285028189601169,0.0,0.1444978074754646,0.1442889956149509,0.13760701607851322,0.14157444142827313,0.14387137189392363,0.09542702025475047,0.1215285028189601,0.14387137189392363,0.16725830027145538,0.1340572144497807
8.txt,0.6230529595015577,0.6270844786512736,0.4641744548286605,0.5733919736118747,0.3969213853765805,0.6080263881253436,0.26864577606743634,1.0,0.4680227231079348,0.522081729888217,0.6159061755543338,0.6380795308777717,0.2847718526663001,0.6560381161810518,0.6221367051493494,0.24244090159428255,0.6626351475169507,0.2970496609858897,0.6413780465457211,0.6633681509987173,0.24555616639179034,0.6606193879420927,0.6400952904526296,0.6688656771119663,0.6498075865860362,0.6701484332050578,0.6492578339747114,0.6613523914238593,0.6569543705332601,0.644493311343229,0.6684991753710829,0.24317390507604908,0.4262415246472421,0.23859263331500824,0.4409015942825728,0.5242807403335166,0.5327102803738317,0.44365035733919733,0.5515851200293201,0.21916804104819498,0.5451713395638629,0.4709547370350009,0.43247205424225765,0.20579072750595562,0.6256184716877405,0.4718709913872091,0.41744548286604366,0.6248854682059739,0.47773501924134143,0.5209822246655671,0.5798057540773318,0.2329118563313176,0.6085761407366685,0.49239508887667216,0.6377130291368884,0.5396738134506138,0.5887850467289719,0.5473703500091626,0.5021073850100788,0.46160894264247754,0.5539673813450614,0.5325270295033901,0.605827377680044,0.5129191863661353,0.27634231262598496,0.45867692871541144,0.5030236393622869,0.47461975444383364,0.44126809602345607,0.6457760674363203,0.48469855231812353,0.4751695070551585,0.42862378596298334,0.6226864577606743,0.5228147333699835,0.5537841304746198,0.5765072384093824,0.5339930364669232,0.565695437053326,0.5655121861828843,0.6203041964449332,0.5035733919736118,0.0,0.5105369250503939,0.5884185449880888,0.5565328935312444,0.5658786879237676,0.595748579805754,0.6305662451896646,0.5865860362836723,0.5394905625801723,0.5281290086127909,0.5523181235110867
9.txt,0.4796256580230064,0.46987716903879895,0.4917137843634237,0.4472606745954377,0.34880093585494243,0.438487034509651,0.29908364203548454,0.43400272957691555,1.0,0.4250341197114448,0.4644180152076428,0.46402807564827453,0.21212712029635405,0.4092415675570287,0.3624488204328329,0.26554883992981093,0.37473191655293425,0.22441021641645542,0.4285435757457594,0.3936439851822967,0.21505166699161626,0.4051472021836615,0.396568531877559,0.40007798791187366,0.392669136283876,0.39481380386040166,0.38915968024956127,0.3848703450965101,0.4055371417430298,0.3953987131994541,0.4217196334568142,0.253850653148762,0.43263794111912657,0.2548255020471827,0.3858451939949308,0.44784558393449014,0.43302788067849485,0.4299083642035485,0.42737375706765446,0.21076233183856508,0.4104113862351335,0.3950087736400858,0.3877948917917723,0.20218366153246248,0.4055371417430298,0.4092415675570287,0.392669136283876,0.3788262819263014,0.40202768570871517,0.4127510235913433,0.4314681224410216,0.27334763111717686,0.4334178202378631,0.41353090271008,0.40436732306492496,0.40475726262429323,0.42386430103333983,0.4111912653538702,0.40475726262429323,0.41197114447260674,0.39871319945408457,0.427958666406707,0.4365373367128095,0.396568531877559,0.21895106258529928,0.3669331253655683,0.41060635601481765,0.4041723532852408,0.3610840319750439,0.41353090271008,0.38467537531682594,0.4049522324039774,0.3700526418405147,0.3959836225385065,0.412361084031975,0.40241762526808345,0.4377071553909144,0.4203548449990252,0.4012478065899786,0.4055371417430298,0.4236693312536557,0.41197114447260674,0.0,0.40436732306492496,0.42678884772860204,0.40202768570871517,0.3811659192825112,0.40534217196334565,0.3920842269448236,0.40436732306492496,0.4147007213881848,0.40865665821797625,0.3815558588418795
10.txt,0.3996357749898827,0.3832456495346014,0.3927559692432213,0.3943747470659652,0.33994334277620397,0.39012545528126263,0.2531363820315662,0.47227842978551193,0.40327802509105626,1.0,0.38142452448401454,0.3947794415216511,0.23188992310805345,0.39761230271145287,0.32881424524484015,0.22480777013354913,0.35430999595305546,0.16956697693241607,0.4182517199514366,0.38182921893970057,0.23452043707001213,0.3735329825981384,0.3622015378389316,0.3887090246863618,0.37312828814245247,0.37414002428166737,0.35694050991501414,0.38688789963577497,0.3852691218130312,0.3822339133953865,0.3970052610279239,0.1898016997167139,0.3806151355726427,0.21307163091865644,0.36806960744637796,0.39255362201537836,0.37373532982598134,0.38688789963577497,0.38243626062322944,0.1954674220963173,0.3642250101173614,0.3810198300283286,0.35390530149736954,0.15681910157830836,0.37070012140833675,0.36867664912990694,0.3320518008903278,0.37434237150951033,0.3628085795224606,0.3761634965600972,0.40186159449615544,0.2571833265884257,0.4091460946985026,0.36199919061108865,0.3617968433832457,0.38405503844597333,0.3842573856738163,0.39720760825576684,0.405503844597329,0.3725212464589235,0.4050991501416431,0.37434237150951033,0.38810198300283283,0.41056252529340354,0.24099554836098747,0.3785916632942129,0.45892351274787535,0.4316066369890732,0.3796033994334278,0.45082962363415624,0.4417239983812222,0.45184135977337114,0.387292594091461,0.38850667745851886,0.47774180493727236,0.40934844192634556,0.45629299878591667,0.4067179279643869,0.43282072035613117,0.3899231080534197,0.3986240388506678,0.4235127478753541,0.0,0.4034803723188992,0.39558883043302306,0.4034803723188992,0.3990287333063537,0.41602590044516385,0.3723188992310805,0.3810198300283286,0.39214892755969244,0.40590853905301494,0.395791177660866
