,1.csv,2.csv,3.csv,4.csv,5.csv,6.csv,7.csv,8.csv,9.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,30.csv,31.csv,249.csv,250.csv,251.csv,252.csv,253.csv,254.csv,255.csv,256.csv,257.csv,258.csv,259.csv,260.csv,261.csv,262.csv,263.csv,264.csv,265.csv,266.csv,267.csv,268.csv,269.csv,270.csv,271.csv,272.csv,273.csv,274.csv,275.csv,276.csv,277.csv,278.csv,279.csv,559.csv,560.csv,561.csv,562.csv,563.csv,564.csv,565.csv,566.csv,567.csv,568.csv,569.csv,570.csv,571.csv,572.csv,573.csv,574.csv,575.csv,576.csv,577.csv,578.csv,579.csv,580.csv,581.csv,582.csv,583.csv,584.csv,585.csv,586.csv,587.csv,588.csv,589.csv
1.csv,1.0,0.6389562171123605,0.4631076719954581,0.6547402959349493,0.32779868199025797,0.43721330765412725,0.25600594231357954,0.38411940305276904,0.5115712815270184,0.4257407739322976,0.5667879203927644,0.7354758162217577,0.423357921146699,0.32785284004291326,0.0,0.491163068997453,0.290719698452803,0.32770835624742967,0.2893729248916359,0.5035559041997315,0.25147039929174886,0.5121443866502423,0.4999087418933069,0.5144757390583989,0.5038810519097017,0.44954969092301866,0.3543858630503549,0.42845329736115034,0.3075940380845137,0.44204684502044245,0.36874562582690595,0.4179676815203811,0.30880888239506743,0.47937801698539684,0.35392333662172093,0.47761521364267656,0.4311044849753032,0.3367676814017808,0.24892069224517244,0.2085917710272318,0.33328480374027547,0.5300797789141583,0.22729402753471584,0.3381733639648238,0.20908351905751787,0.06001991062400258,0.45908908995831,0.10825930874470335,0.1766313956625245,0.19688427336563175,0.28718646229537215,0.538840021097701,0.4246335489468638,0.4531946878286003,0.6300647049934952,0.3369029346065331,0.4269342679841872,0.2368892825157739,0.20492167904509295,0.19813034366659066,0.43739967898090226,0.5227681258686656,0.5601661639020299,0.5499195384055089,0.48292622646596106,0.34309829297009564,0.4491068471602111,0.433228669625602,0.22108990760375924,0.3679525576920356,0.35675772820157137,0.575249707143583,0.3601883518553922,0.15487473428659027,0.3701639114118448,0.18997714398227272,0.28567871995316874,0.4840669412690156,0.4051288991004006,0.20786979363630376,0.4409682342290717,0.41326566293113676,0.413578064864347,0.39122331910876607,0.4361823134243229,0.35968089147058946,0.37759130439019184,0.4181195478754677,0.3906937687912194,0.45236223866431235,0.42199985118625327,0.4075112988229739,0.3737422556195451
2.csv,0.666200114940277,1.0,0.5095016128645758,0.5889832928426636,0.27901008797006166,0.39652606438681415,0.2705908387029152,0.3204517187675763,0.600501962049278,0.3602390560787734,0.6070845673035692,0.772351322490188,0.5044833540775492,0.4010685873711668,0.08781063959085933,0.6603074074284615,0.21537256053717757,0.4135470213476613,0.200056279100563,0.33061422142031793,0.14091565519844906,0.5053837372368384,0.3986246581833207,0.3819857311552599,0.3902001098826111,0.3886589932496676,0.30351288965741496,0.40907646107342666,0.29762658505698036,0.3135128077035261,0.31952213649186545,0.38799679685997035,0.26120692674003354,0.3959156992501822,0.26719877638450995,0.3793445616669586,0.34255559286671045,0.2684342778174721,0.16772995600803942,0.13259385311575145,0.27189460674474464,0.4743501746168044,0.31915407713982136,0.41897001351154695,0.08240120137230511,0.0,0.5253002334197905,0.023281071256253116,0.2182726719233229,0.22389599021236217,0.26879891336453754,0.45621613531539196,0.41198407446948015,0.36917379026145947,0.5979291103522375,0.27174308846635065,0.25761470899920225,0.04336767748220105,0.18135889745447176,0.12136240862942982,0.19327572796440262,0.3968775395237394,0.5300112886949936,0.47428683344790956,0.4975831224502444,0.3200128844866833,0.39817656371445476,0.34219380505293895,0.1820180480247957,0.3845726458833628,0.25968344750625383,0.4972441352677076,0.25660007394129025,0.22511543300619064,0.3362484116249981,0.23335790521044208,0.3365765401240476,0.5797329274443708,0.2852315689357896,0.09161535417957811,0.39978667737941187,0.2899002482222932,0.333865846440492,0.22311460840733421,0.3672442216888163,0.3059325893425102,0.3297310402604354,0.29674591586948706,0.3315386585006208,0.3866208574656733,0.4011735021066083,0.31181607768425146,0.30762899257200205
3.csv,0.5496857805937695,0.5550207758983763,1.0,0.5096177808306379,0.39086754028806714,0.6735817034120385,0.32719351399047514,0.5051362817176256,0.7359078607056408,0.491648489635542,0.5837166868475621,0.6251518484208358,0.48881359141399094,0.2425054861147824,0.06317548133999362,0.6426500618807998,0.33700071594768677,0.6406005596693898,0.31616153067794206,0.28124259498460713,0.3715965844473198,0.45596129811576436,0.43274949180538136,0.34001801028214396,0.5775354240061339,0.40545159032935285,0.25849402877363936,0.432545052108819,0.18152305273712543,0.21759286813967849,0.244325052497258,0.556269479417006,0.2924552924464011,0.4497896382581743,0.370069721547991,0.4120255981903749,0.40779583480076,0.2848115624593093,0.28831259178372914,0.2581452470137312,0.2567259156441142,0.5885155919625777,0.24139200333421207,0.46982405526654225,0.29049308689104825,0.20540843637214756,0.624381522854377,0.20565812474085432,0.231927638103824,0.3379178548542987,0.2010976526654924,0.5700293310509179,0.3463853974581701,0.2728559243659867,0.6279376675623534,0.17570268998730798,0.20221350791437087,0.11520761711186822,0.23745198616869745,0.0,0.2666698396753895,0.244433149359912,0.5170078907437541,0.5158590619774005,0.5078358810222552,0.4833081556874681,0.5438952121236348,0.4212568986723274,0.3243987068616475,0.5087703952474144,0.4703384649686718,0.6301374172553971,0.4407589454099541,0.33016781482005486,0.4865386337514246,0.3949965208370281,0.39955481121971115,0.47724560863060206,0.4470843549529432,0.18810403212635263,0.42579112479088344,0.5801817822042041,0.49672058742249847,0.3947901116285134,0.5264238472477379,0.48071149651254075,0.5018423990214733,0.42294767594585303,0.44861357351356257,0.4581327581133444,0.448137568818624,0.45392142993613427,0.47517854902603085
4.csv,0.6588697365480034,0.5607542992293599,0.4223289442580649,1.0,0.12774150805828954,0.5093529513778192,0.058003589769918595,0.3142524241390303,0.3700391346750799,0.2931110308424507,0.7132190734577382,0.6890621460935564,0.3355510085706901,0.30411451261251177,0.0,0.36424640174895295,0.30878889261107856,0.32512405504949826,0.2541115734112239,0.37108472767581313,0.32249392509505903,0.40589553168345904,0.37187850937545164,0.40787204823580925,0.4574349736938367,0.44895413578726484,0.28090513631780456,0.5137415799945888,0.22681711038106378,0.44832038007769814,0.34686598989939865,0.35895433710879476,0.42897563214645273,0.5252625135140644,0.36553321431395513,0.4080752693202492,0.4506945886193511,0.38212810054967117,0.3095117254694181,0.034403435310042085,0.30976465467063896,0.5620324162379474,0.28315164705714013,0.3113930054698749,0.13128889626194573,0.11555722782705757,0.43877142748658104,0.15554796769945944,0.2426911234702961,0.2228938787004192,0.1362251094075121,0.39257781273729364,0.4733127345932291,0.42743861526364924,0.7384348567876925,0.24816556371292042,0.2712359416349923,0.023354823237176747,0.1055115041104766,0.06815279276062924,0.27700271610137317,0.5891746771442519,0.6956494646019858,0.48277653567261647,0.37362901089791856,0.3044161523578327,0.3162654233143597,0.3915968456241097,0.09025010105239117,0.3057025939726681,0.20084165472821502,0.504027271509899,0.24228061205476503,0.177266115431306,0.2827423345266832,0.11163678711957126,0.22398963371150704,0.42743738438399514,0.3855223629674469,0.19073777312340467,0.3408214199868974,0.4208321325097021,0.3278618312813052,0.3102592231873581,0.35133331718224137,0.341221031050999,0.3481025817916549,0.2557401600618905,0.3705187148702852,0.3488720558750411,0.4875769474981808,0.3551911366821483,0.3305138810765942
5.csv,0.5283150522291906,0.4527880989696935,0.49039235082386823,0.3805253937555053,1.0,0.36627085936578163,0.6727807292605023,0.4805431396136498,0.5137124950262015,0.7671311743508205,0.4821822908988741,0.4615041337901653,0.682431509105094,0.3301620044285948,0.0,0.49432357653543135,0.253911202989171,0.5427797690429235,0.2563864197598398,0.40806213369132804,0.39036743034036403,0.3670273426757351,0.4664624321806574,0.491848129621823,0.4572019579192703,0.33873522356262586,0.380177679678554,0.35911455289386063,0.29275251714441386,0.3382430060892573,0.38256254440123016,0.6032946989329773,0.29467040187328153,0.502677602746327,0.3521031405093329,0.44603816113818706,0.3553910617725392,0.39065204039258505,0.19853116494331935,0.5635605166335809,0.32776499711580354,0.4588186870403195,0.1785566319837727,0.4899769366902105,0.33459478136234466,0.13983141957356815,0.3418548005497617,0.20748823783659376,0.13043727301693175,0.22252952423250094,0.25247918113819745,0.5266708657162361,0.3429558941452232,0.32025015649218813,0.4308694864394398,0.25556776339132947,0.27978158292943833,0.27005260189887614,0.14382425972065704,0.17147746606920866,0.44795118294439407,0.27444069822394757,0.3792677753742283,0.5140251474920754,0.6238622281521544,0.43089652048836335,0.655927884108198,0.42944965598337137,0.5129168244379484,0.4526568267027764,0.6420526802282126,0.6004073728875161,0.49861868949738763,0.2354778702839312,0.5164115794495777,0.2853982917030645,0.39634994049249905,0.440873258361159,0.4050192291907829,0.3608673969927192,0.3815162321745049,0.3762689475199792,0.5694484626209628,0.3796701936015533,0.33348893681718617,0.34561281435341995,0.3374171820252829,0.3700128917053783,0.24833233806075905,0.32784857540497037,0.31945594802232413,0.34086509964398826,0.37724264589493794
6.csv,0.5472501992004993,0.4748943951355078,0.6869162840227934,0.6005068992626514,0.27345006501044844,1.0,0.14262804617995317,0.4888760112545296,0.5044331790202641,0.4198567927673066,0.5726636972024536,0.6179848450896333,0.3597720755526106,0.21051348396509506,0.0,0.4206715936624028,0.3919677956833061,0.4798011940072483,0.36015037374404424,0.3982810060924823,0.4740797039255651,0.4119886205880031,0.41174812602409117,0.378295884015019,0.5588466157986562,0.5241893986439761,0.2863231418895483,0.5101224929794633,0.27223527275415993,0.3068043200710643,0.2846189942537225,0.4260316208304106,0.41508700225452844,0.4466533234587867,0.36082754408675677,0.39239032510190053,0.42472344989814736,0.30839637318693813,0.40172994109835025,0.1138082789272753,0.23705317466840037,0.5501579977439606,0.2533478296625532,0.334245414619079,0.24970508492468224,0.24134754294668348,0.6271757150635293,0.24131963719123128,0.30465311531834594,0.37800747591421047,0.2790500279527791,0.5252290057792404,0.38774943070089274,0.308514708027981,0.6459692848642711,0.14633798702212175,0.22656109864679774,0.14228809525201158,0.2770778685749895,0.12563216014352652,0.3827089375174183,0.3753281792320009,0.5587051692427312,0.48625759311559924,0.382904138843729,0.46379837333599916,0.48056975771323107,0.44069947501538576,0.2276667539163887,0.47572270932840754,0.3616445375352003,0.5576559606567384,0.43022538200742544,0.3769753691489106,0.4411926869919809,0.3678049146361847,0.39837467889473577,0.4253999598135584,0.46937824732104416,0.16788241755079547,0.3913169685437784,0.7211637903295716,0.48841541508968456,0.4769100586607521,0.5109955121704948,0.48844728186605424,0.4626018807175304,0.390907106134182,0.45977335204013603,0.4659437589450488,0.5044783061899574,0.45795432501429956,0.5402168317774206
7.csv,0.40109552349115474,0.364913334525959,0.3542717314525009,0.23252721434605517,0.6246172539015606,0.14208765556355207,1.0,0.3533843549389377,0.43980934463975596,0.5522767727586231,0.33441091552273794,0.3271280049386118,0.6087155493261387,0.2994712906928404,0.0,0.524426081216362,0.06317896964521097,0.446647636523425,0.17601455544663047,0.19147137413074444,0.1825540871950686,0.27043762105417546,0.3225942330331232,0.28830053478635354,0.3332702638060874,0.12177276224084876,0.1825099904241816,0.1972165318635659,0.14917584786831706,0.21333434754753178,0.22850604362525107,0.5977561957909301,0.19332094155630064,0.4402596644143716,0.35894480363304304,0.38878436563475516,0.28103694204345286,0.30719314192384284,0.11304187371587482,0.6548140000002215,0.3089483307217089,0.429479234578651,0.16204255593562666,0.4596665331028238,0.330236474747142,0.03185803222254646,0.24051332459259744,0.13839239809665804,0.08446175673355838,0.20493195585087542,0.0665996948772184,0.46222364890555734,0.2995583824935253,0.3182197775727278,0.31628882455382457,0.2795134454346012,0.2480598027445482,0.19313558901856998,0.07793891705539147,0.03420777596018343,0.23760051164070217,0.13468009368412537,0.3097548063603931,0.4470759696736416,0.6582497303661902,0.37069370584834893,0.5295550965992506,0.3955322357573975,0.5707983610355012,0.3938884623923795,0.6337015980204452,0.48485785074348564,0.4316504490237405,0.10750274584367259,0.4745927067326826,0.23783862078478346,0.2719450875684224,0.41928159746490057,0.34102482465722683,0.3817685537250761,0.40768629840824155,0.16890495603610878,0.41077212301919863,0.20527932519176795,0.2134910040210426,0.26752087088664545,0.26215753589898094,0.30708404052111693,0.15479651439095077,0.24022869647060863,0.197194301101569,0.2652972409183031,0.23609300819739854
8.csv,0.47732529005053315,0.37622355442050326,0.4992832539986034,0.4109869863525466,0.37175101819797396,0.46080385215508335,0.3183003347269643,1.0,0.49315627325425937,0.47731038447434126,0.445781916958517,0.4233333143649114,0.46849157738283587,0.426729687134376,0.0,0.4376621338517861,0.47714376589891305,0.41639620613918704,0.5254976089665357,0.49987997451431077,0.24730836990485705,0.5553981874853988,0.5454748939072345,0.5281125071484123,0.7032331526401367,0.5688024032891189,0.42179638059961533,0.5692504720765805,0.33804913842270123,0.37297720475101637,0.4684720158091725,0.41650092596104527,0.30347764405252853,0.5136367362954131,0.36619338629463827,0.3062380260687335,0.3745296772718659,0.27825174071798187,0.34869284671136924,0.18028875787976884,0.16924611556951308,0.5696174664254448,0.2750781978031025,0.2869690096254466,0.2908059825583226,0.14004386525038104,0.4164027158126855,0.27970328440997483,0.2828833789987538,0.41916297425152693,0.026518884771533746,0.42293679154362307,0.49548796525736283,0.28702071846987753,0.5449592701950865,0.09035479624962028,0.1676690318895372,0.12353073236899281,0.3776167344817628,0.01738798223738769,0.3075369081735606,0.20432827686637456,0.41802415062215337,0.7005259438650064,0.52072168659217,0.7466691692223733,0.6352431840716471,0.6154522591551164,0.4989445661732762,0.7244968140309402,0.5979380011706004,0.6211462724716367,0.6594266580201109,0.45817123790684344,0.6879416473932273,0.5538430975262895,0.5856731310735099,0.5330650340394287,0.6933130842894065,0.3569726148861241,0.5414279471061005,0.4251921784284819,0.3443416938333055,0.39459569063241895,0.3115951205487806,0.4468287079623281,0.3933228269354867,0.3665747218133636,0.29427307073190356,0.3243047119739254,0.30949890284113646,0.3646098973114478,0.4122843057213488
9.csv,0.5880109664583605,0.6355207545682751,0.7344101482951058,0.46219643142575484,0.4154456222059699,0.4803962962701944,0.4130079328263814,0.4962401219465504,1.0,0.46599226683564265,0.523625095146175,0.6334849539297929,0.5238739807766774,0.3766673571735416,0.19798109316773294,0.7646842546764671,0.3498743894513131,0.5453499079166846,0.29051978085559216,0.325371447769234,0.2235621672660305,0.600192206722098,0.5522093412992695,0.4161402608908863,0.5599538638413357,0.4333915060629274,0.37849261434798187,0.41758358120465755,0.24206522075690262,0.26315164316393114,0.33503662641835175,0.4995127571047553,0.20255255428056984,0.40954313923705554,0.337617157505967,0.38718430024713335,0.38432191405716853,0.258112823783922,0.2200521124409145,0.309997714829637,0.2788670882720333,0.5179311403846412,0.27492669316633667,0.4916570025261028,0.26923422766688854,0.17150684518537884,0.5287006900776638,0.18392291130412164,0.2143328472287359,0.2597815965663598,0.22604926568427486,0.50938142729237,0.3255510760273973,0.26574923359112157,0.550499445462912,0.25747416713440696,0.25769770557752425,0.17215281084386325,0.2608490745588734,0.0,0.2403697936041289,0.24012049444907957,0.4572140884594402,0.5525957880905703,0.5477621982590198,0.4650121191165183,0.5276181103471788,0.403464486822133,0.3706508675451803,0.4865633870232732,0.4609591294163544,0.6184084898862434,0.41674870732875957,0.34765894340037895,0.4636944797687589,0.41686405113198943,0.4463429981930658,0.5308928110035387,0.4231693141211791,0.20861268193652893,0.4697458957657995,0.4439015766145955,0.40998505101155647,0.3823351030563664,0.5480065680667616,0.4645189997536646,0.520549740902096,0.49193900708467253,0.46851326584027597,0.4962780340410554,0.41337184615962086,0.46341599271567424,0.42084437680962905
10.csv,0.5522161126852199,0.46042490878903297,0.527397367402481,0.4421244476265589,0.7412268715909693,0.43768296012313956,0.5663073978801503,0.5197477724246986,0.5063449743465721,1.0,0.5659586203885777,0.5217783154582631,0.7381241593926268,0.3540877262896802,0.0,0.49481401869722974,0.22583625605706725,0.6538376469373486,0.2705756958336759,0.42803389440109585,0.5279134250425657,0.36670809801136883,0.4780857979682732,0.5279274634527181,0.5285388156835726,0.37139532005092835,0.3886362185351182,0.4714162118760914,0.3686027631165587,0.4169712787930183,0.39721266613714434,0.663366817040026,0.4054158703757227,0.5802451534366699,0.3831395969987429,0.40288575027792894,0.3324204891124337,0.37321183840594807,0.21739434379275213,0.46573327633885064,0.2866627995377131,0.5256850679675565,0.16594675355262745,0.450416374279645,0.2800167675124692,0.0964117396186166,0.3494238851442013,0.20421830562047505,0.1493831618629332,0.2748283229073689,0.22218725741914203,0.622611518713626,0.4181792299100392,0.33156265191790457,0.48474050467622776,0.21973067255675638,0.29048136215998477,0.21077178769749216,0.11978700764458317,0.12328666986134229,0.501543209946629,0.3157146222985038,0.4752510442150627,0.5803809712361436,0.6984550805726466,0.500403454132138,0.7465103051262452,0.5175209420589091,0.549855566070307,0.5289484299191176,0.6518561881989487,0.6514259614092817,0.5537787630586413,0.31781695707833013,0.6017415545166199,0.31716696664357424,0.4455854102254465,0.5315300084181873,0.500529993672252,0.40330182387285696,0.44095836669631017,0.48678452734642064,0.7189229167803008,0.47506477755936827,0.38922568412579195,0.4689292797988338,0.44064384639509446,0.41657910457692526,0.32141679784772326,0.3918721834111598,0.4574201750436696,0.43264242400110753,0.5222739788859376
